UID,Order,TypeID,List,Phase,Event,Speaker,EventImage,EventImage1,EventImage2,EventImage3,SpeakerImage,SpeakerImageUrl,Symbol,Access,Correct,Marker,Phrase,Phrase2
R2A_Reportative-19,19,R2A_Reportative,R2A,Comprehension,63REP_braid_string,GJPS,,//static.wixstatic.com/media/7cb05b_ef27f1e6bd4a47e0afe359162bfe7a38~mv2.png,//static.wixstatic.com/media/7cb05b_250ae4e8c4364c38b104249e551d9fbc~mv2.png,//static.wixstatic.com/media/7cb05b_acebcbce00c745cfbdd681124e64a2c7~mv2.png,,,//static.wixstatic.com/media/7cb05b_0501ccdfed554fbe833b58e5c555af1e~mv2.png,Reportative,Yes,ga,She string braidedga,Ygritte hears her friend braided strings.
R2A_Visual-20,20,R2A_Visual,R2A,Comprehension,50VIS_crack_peanut,NLS,,//static.wixstatic.com/media/7cb05b_62eef95f17e940bba042c53ea40a80e4~mv2.png,//static.wixstatic.com/media/7cb05b_44ec0a30041d4fc3ba9b4c60dcf2b16e~mv2.png,//static.wixstatic.com/media/7cb05b_4f05e5ac45354b449e3b2b261b555873~mv2.png,,,//static.wixstatic.com/media/7cb05b_0501ccdfed554fbe833b58e5c555af1e~mv2.png,Visual,Yes,,She peanut cracked,Ygritte sees her friend crack a peanut.
R2A_Reportative-21,21,R2A_Reportative,R2A,Comprehension,66REP_slice_bread,GJPS,,//static.wixstatic.com/media/7cb05b_41c2f5119e934edfafd4cc878596edd5~mv2.png,//static.wixstatic.com/media/7cb05b_c9dde46125534ed4957d4b3b825a40dd~mv2.png,//static.wixstatic.com/media/7cb05b_80d6da82056243e3bc494b123219b679~mv2.png,,,//static.wixstatic.com/media/7cb05b_0501ccdfed554fbe833b58e5c555af1e~mv2.png,Reportative,No,,She bread sliced,Ygritte hears her friend sliced bread.
R2A_Reportative-22,22,R2A_Reportative,R2A,Comprehension,62REP_remove_letter,WLS,,//static.wixstatic.com/media/7cb05b_7bccafe80e3640668fa746b756b5e7a6~mv2.png,//static.wixstatic.com/media/7cb05b_611b52b88f5c4bb69c57c50ddc3a9b85~mv2.png,//static.wixstatic.com/media/7cb05b_fdc70035e7554f25a8646c906a21b5f9~mv2.png,,,//static.wixstatic.com/media/7cb05b_0501ccdfed554fbe833b58e5c555af1e~mv2.png,Reportative,Yes,ga,She letter removedga,Ygritte hears her friend removed letters.
R2A_Visual-23,23,R2A_Visual,R2A,Comprehension,56VIS_deflate_balloon,GJWS,,//static.wixstatic.com/media/7cb05b_04369c04f4d5436e98d4169877ca7553~mv2.png,//static.wixstatic.com/media/7cb05b_ab7372727940499b8769b4b4f0f43507~mv2.png,//static.wixstatic.com/media/7cb05b_cecd99acbce143808de11db4a9b60b15~mv2.png,,,//static.wixstatic.com/media/7cb05b_0501ccdfed554fbe833b58e5c555af1e~mv2.png,Visual,No,ga,She balloon deflatedga,Ygritte sees her friend deflate a balloon.
R2A_Visual-24,24,R2A_Visual,R2A,Comprehension,48VIS_fold_towel,NLS,,//static.wixstatic.com/media/7cb05b_b967f57c5cf84ce896ba09d1fa8721a4~mv2.png,//static.wixstatic.com/media/7cb05b_cf30cf0e7a034fa59da6de601a4f7578~mv2.png,//static.wixstatic.com/media/7cb05b_0fc76aca48754b9891c4e299f6301c92~mv2.png,,,//static.wixstatic.com/media/7cb05b_0501ccdfed554fbe833b58e5c555af1e~mv2.png,Visual,Yes,,She towel folded,Ygritte sees her friend fold a towel.
R2A_Reportative-25,25,R2A_Reportative,R2A,Comprehension,59REP_connect_dots,NLS,,//static.wixstatic.com/media/7cb05b_e26a6a78c62745f7b9c62b2fb2b5aa68~mv2.png,//static.wixstatic.com/media/7cb05b_ec2b1f0cee2d442197b3cd8bc203ffe7~mv2.png,//static.wixstatic.com/media/7cb05b_e273e11893254f21adedd4f0496c937d~mv2.png,,,//static.wixstatic.com/media/7cb05b_0501ccdfed554fbe833b58e5c555af1e~mv2.png,Reportative,Yes,ga,She dots connectedga,Ygritte hears her friend connected dots.
R2A_Reportative-26,26,R2A_Reportative,R2A,Comprehension,58REP_staple_packet,GJPS,,//static.wixstatic.com/media/7cb05b_c853bf85513d48178c91370d05246cef~mv2.png,//static.wixstatic.com/media/7cb05b_e5fb63b30baf4f32851df16e4556fac9~mv2.png,//static.wixstatic.com/media/7cb05b_9fb8273b9c6b4d22a884b7545dc1b886~mv2.png,,,//static.wixstatic.com/media/7cb05b_0501ccdfed554fbe833b58e5c555af1e~mv2.png,Reportative,Yes,ga,She packet stapledga,Ygritte hears her friend stapled packets.
R2A_Visual-27,27,R2A_Visual,R2A,Comprehension,53VIS_separate_plates,NLS,,//static.wixstatic.com/media/7cb05b_3a2f520aac9a4145ae0c9674ab82a7b7~mv2.png,//static.wixstatic.com/media/7cb05b_f4f53dbef2674fabb814105fa2268694~mv2.png,//static.wixstatic.com/media/7cb05b_1fccb295e8a9426db70a9690a9b3e7ac~mv2.png,,,//static.wixstatic.com/media/7cb05b_0501ccdfed554fbe833b58e5c555af1e~mv2.png,Visual,No,ga,She plates separatedga,Ygritte sees her friend separated plates.
R2A_Visual-28,28,R2A_Visual,R2A,Comprehension,49VIS_color_star,BLS,,//static.wixstatic.com/media/7cb05b_63d8b26222524b9ea2562fe57b9fc29b~mv2.png,//static.wixstatic.com/media/7cb05b_0abd9599d4244cafb04eb0f1210e5520~mv2.png,//static.wixstatic.com/media/7cb05b_4d8ef4334ec5421588481eeb6edb0643~mv2.png,,,//static.wixstatic.com/media/7cb05b_0501ccdfed554fbe833b58e5c555af1e~mv2.png,Visual,Yes,,She star colored,Ygritte sees her friend color a star.
